[2015-04-16 00:21:52] smikloso, leaving. (#selendroid)
[2015-04-16 00:56:52] lukeis, quitting. (Quit: Leaving.)
[2015-04-16 01:04:31] rlux, joining. (#selendroid)
[2015-04-16 01:10:06] rlux, quitting. (Remote host closed the connection)
[2015-04-16 01:38:26] detronizator, quitting. (Ping timeout: 250 seconds)
[2015-04-16 01:38:41] detroniz-, joining. (#selendroid)
[2015-04-16 01:38:51] detroniz-, changing nick to detronizator.
[2015-04-16 02:17:46] selendroid-git, joining. (#selendroid)
[2015-04-16 02:17:46] selendroid-git: [selendroid] renniechan opened pull request #853: Added display of ApiTargetType on wd/hub/status page in selendroid-standalone (master...selendroidStandaloneHubStatus) http://git.io/vvwX2
[2015-04-16 02:17:46] selendroid-git, leaving. (#selendroid)
[2015-04-16 03:37:39] mach6, quitting. (Quit: Leaving...)
[2015-04-16 04:07:01] AutomatedTester, quitting. (Ping timeout: 255 seconds)
[2015-04-16 04:08:39] onewheelskyward, quitting. (Ping timeout: 252 seconds)
[2015-04-16 04:44:36] onewheelskyward, joining. (#selendroid)
[2015-04-16 04:50:49] AutomatedTester, joining. (#selendroid)
[2015-04-16 06:08:03] AutomatedTester, quitting. (Ping timeout: 256 seconds)
[2015-04-16 06:14:57] AutomatedTester, joining. (#selendroid)
[2015-04-16 06:53:33] smccarthy, quitting. (Quit: Leaving...)
[2015-04-16 08:08:36] mach6, joining. (#selendroid)
[2015-04-16 08:14:04] mach6, quitting. (Ping timeout: 255 seconds)
[2015-04-16 08:16:44] mach6, joining. (#selendroid)
[2015-04-16 10:00:00] smikloso, joining. (#selendroid)
[2015-04-16 10:00:42] mach6, quitting. (Quit: Leaving...)
[2015-04-16 13:16:18] smikloso, quitting. (Ping timeout: 250 seconds)
[2015-04-16 13:33:04] smikloso, joining. (#selendroid)
[2015-04-16 13:39:43] smikloso1, joining. (#selendroid)
[2015-04-16 13:42:18] smikloso, quitting. (Ping timeout: 250 seconds)
